source_file,status,total_pages,target_pages,pages_ocr_done,pages_with_text,char_count,line_count,error_count,elapsed_s,document_txt
"先进燃气轮机燃烧室=ADVANCED GAS TURBINE COMBUSTOR (金如山，索建秦著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,603,603,603,603,611717,19385,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\01_422e6d6e9786\document.txt
"大型燃气-蒸汽联合循环电厂培训教材 M701F燃气轮机汽轮机分册 (深圳能源集团月亮湾燃机电厂，中国电机工程学会燃气轮机发电专业委员会编 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,410,410,410,410,374968,12979,0,0.005,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\02_f83c2147c643\document.txt
"燃气涡轮发动机燃烧 第3版 (（英）A.H.勒菲沃（Arthur etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,442,442,442,442,469820,14234,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\03_8262abdfa4ad\document.txt
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,423,423,423,422,236672,8715,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\04_e6a13e82eb6f\document.txt
"燃气轮机 (南京燃气轮机研究所编) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,62,62,62,62,86654,2107,0,0.0,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\05_42b658350682\document.txt
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,161,161,161,161,198641,5560,0,0.033,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\06_46cb688f9db5\document.txt
"燃气轮机与燃气-蒸汽联合循环装置 上 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,493,493,493,493,718041,19632,0,0.018,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\07_b1a5f133347e\document.txt
"燃气轮机与燃气-蒸汽联合循环装置 下 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,325,325,325,325,442762,12241,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\08_530bf8fe4384\document.txt
"燃气轮机原理、结构与应用 上 (沈阳黎明航空发动机（集团）有限责任公司编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,485,485,485,485,514647,16794,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\09_949722474f48\document.txt
"燃气轮机原理、结构与应用 下 (沈阳黎明航空发动机（集团）有限责任公司编著, Pdg2Pic) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,478,478,478,478,516726,16397,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\10_e461d0cc931e\document.txt
"燃气轮机可靠性维护理论及应用 (张会生，周登极编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,263,263,263,263,244873,8587,0,0.0,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\11_f9ae274e182b\document.txt
"美国飞机燃气涡轮发动机发展史 (James St. Peter) (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,813,813,813,803,623694,19752,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\12_703d154d523b\document.txt
"航空燃气轮机涡轮气体动力学：流动机理及气动设计=TURBINE AERODYNAMICS FOR AERO-ENGINE：FLOW ANALYSIS AND AERODYNAMICS DESIGN (邹正平，王松涛，刘火星，杨策，张... (z-library.sk, 1lib.sk, z-lib.sk).pdf",success,525,525,525,525,582094,16731,0,0.001,D:\虚拟C盘\RAG\data_pipeline\ocr\tsinghua_gas_turbine_books\13_4e83a06514eb\document.txt
