file_name,size_mb,total_pages,sampled_pages,pages_with_text,extracted_chars,avg_chars_per_sampled_page,avg_chars_per_text_page,text_page_ratio,gibberish_risk,low_text_risk,classification,risk_reasons,error
"先进燃气轮机燃烧室=ADVANCED GAS TURBINE COMBUSTOR (金如山，索建秦著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",103.664,603,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"大型燃气-蒸汽联合循环电厂培训教材 M701F燃气轮机汽轮机分册 (深圳能源集团月亮湾燃机电厂，中国电机工程学会燃气轮机发电专业委员会编 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",96.925,410,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气-蒸汽联合循环发电机组运行技术问答 燃气轮机与蒸汽轮机设备与运行 (张磊丛书主编) (z-library.sk, 1lib.sk, z-lib.sk).pdf",95.183,615,80,79,81180,1014.8,1027.6,0.988,low,False,direct_text,,
"燃气涡轮发动机燃烧 第3版 (（英）A.H.勒菲沃（Arthur etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",73.862,442,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",81.158,423,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机 (南京燃气轮机研究所编) (z-library.sk, 1lib.sk, z-lib.sk).pdf",3.927,62,62,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机 (燃气轮机基本情况编写组编写) (z-library.sk, 1lib.sk, z-lib.sk).pdf",15.198,161,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机与燃气-蒸汽联合循环装置 上 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",223.797,493,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机与燃气-蒸汽联合循环装置 下 (清华大学热能工程系动力机械与工程研究所，深圳南山热电股份有限公司编著 etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",107.492,325,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机原理、结构与应用 上 (沈阳黎明航空发动机（集团）有限责任公司编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",190.581,485,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机原理、结构与应用 下 (沈阳黎明航空发动机（集团）有限责任公司编著, Pdg2Pic) (z-library.sk, 1lib.sk, z-lib.sk).pdf",49.745,478,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"燃气轮机可靠性维护理论及应用 (张会生，周登极编著) (z-library.sk, 1lib.sk, z-lib.sk).pdf",34.499,263,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"美国飞机燃气涡轮发动机发展史 (James St. Peter) (z-library.sk, 1lib.sk, z-lib.sk).pdf",132.837,813,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
"航空燃气轮机涡轮气体动力学：流动机理及气动设计=TURBINE AERODYNAMICS FOR AERO-ENGINE：FLOW ANALYSIS AND AERODYNAMICS DESIGN (邹正平，王松涛，刘火星，杨策，张... (z-library.sk, 1lib.sk, z-lib.sk).pdf",101.855,525,80,0,0,0.0,0.0,0.0,low,True,needs_ocr,no_extractable_text_in_sample,
